date_transformed,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
2021-02-04,1017,NA,0.4539685,NA,NA,NA,NA,NA
2021-02-04,1022,NA,0.2765085,0.0215646,7.7857140000000005,0.0262045,NA,10.3
2021-02-05,1017,NA,0.63,NA,34.5,NA,NA,NA
2021-02-05,1022,NA,0.435111,0.064767,14.05,0.026013,NA,9.8
2021-02-06,1017,NA,0.8107145,NA,21.090909,NA,NA,10
2021-02-06,1022,NA,0.4721115,0.07418340000000001,13.7857145,0.030919750000000003,27,15.7
2021-02-07,1017,NA,0.7348485,NA,17.954545,NA,NA,NA
2021-02-07,1022,NA,0.5393015,0.0888804,11.5,0.0344135,NA,22.1
2021-02-08,1017,NA,0.5746035,NA,11.9,NA,NA,NA
2021-02-08,1022,NA,0.37653499999999995,0.0171602,8.261905,0.0330895,NA,19.5
2021-02-09,1017,NA,0.380952,NA,10.428571,NA,NA,11.7
2021-02-09,1022,NA,0.20855,7.968e-4,4.619047500000001,0.03777975,23,10.7
2021-02-10,1017,NA,0.502138,NA,14.9,NA,NA,NA
2021-02-10,1022,NA,0.251516,2.39e-4,7.3809525,0.032889,NA,9.6
2021-02-11,1017,NA,0.572619,NA,16.181818,NA,NA,NA
2021-02-11,1022,NA,0.354373,0.0332118,8.4285715,0.03782575,NA,12.9
2021-02-12,1017,NA,0.481349,NA,14.272727,NA,NA,8.1
2021-02-12,1022,NA,0.2418255,0.026653,6.166667,0.02676625,17,8.5
2021-02-13,1017,NA,0.44087299999999996,NA,10.545455,NA,NA,NA
2021-02-13,1022,NA,0.2566505,0.0061862,6.659091,0.02942875,NA,9.9
2021-02-14,1017,NA,0.38977249999999997,NA,8.681818,NA,NA,NA
2021-02-14,1022,NA,0.2485235,0.032654,6.4761904999999995,0.03071975,NA,9
2021-02-15,1017,NA,0.460714,NA,13.681818,NA,NA,8.4
2021-02-15,1022,NA,0.2756905,0.0320166,7.380952499999999,0.02978575,19,9.7
2021-02-16,1017,NA,0.35833349999999997,NA,10,NA,NA,NA
2021-02-16,1022,NA,0.201381,0.0124078,4.4761904999999995,0.028339,NA,5.7
2021-02-17,1017,NA,0.44722249999999997,NA,16,NA,NA,NA
2021-02-17,1022,NA,0.26087499999999997,0.0338196,7.8541665,0.0276915,NA,12
2021-02-18,1017,NA,0.336111,NA,11.545455,NA,NA,3.7
2021-02-18,1022,NA,0.318125,0.0229862,10.9375,0.02522425,14,5.8
2021-02-19,1017,NA,0.68254,NA,24.863636,NA,NA,NA
2021-02-19,1022,NA,0.415848,0.09255580000000001,16.395833,0.022900999999999998,NA,8.3
